Layer_Src,Layer_Dst,Neuron_Src_ID,Neuron_Dst_ID,Base_Weight,Spline_0,Spline_1,Spline_2,Spline_3,Spline_4,Spline_5,Spline_6,Spline_7,Spline_8,Spline_9,Spline_10
0,1,5,1,0.08596262,-0.057011325,-0.040382586,-0.044567324,-0.05538231,-0.10205058,0.004569754,-0.09325438,0.056245796,-0.1026058,0.04087061,0.0021102577
0,1,6,1,-0.0083828345,-0.88235784,-0.44308567,0.009915228,0.003685948,-0.07090803,-0.08730683,-0.017658925,0.14050283,0.13914882,-0.20912217,-0.13931611
0,1,7,1,-0.0031814848,-0.09132346,0.14333124,0.10314724,-0.12411605,0.025241885,-0.06931595,-0.017276974,-0.2056959,-0.041797176,0.09311532,-0.08897444
0,1,8,1,-0.04618045,0.09042805,0.025874235,-0.08324922,-0.1036372,0.0408069,0.09795166,-0.067631245,-0.0068576885,-0.09080425,-0.10348446,0.10127821
0,1,0,2,0.06331853,-0.081266426,0.2544761,-0.14670077,0.19741373,-0.3334149,0.13394837,0.15063694,0.18513703,-0.14195788,-0.07950629,0.12974569
0,1,1,2,-0.05413065,-0.10767313,-0.109725244,0.034270104,0.11668997,0.055638727,-0.040714674,0.2672012,-0.042815503,0.03223774,0.008183577,0.05099448
0,1,2,2,0.005065721,0.023777105,0.041030325,0.11122475,-0.056205977,-0.09476125,-0.02922687,0.06021338,0.018858721,-0.06689645,-0.09302807,-0.08346494
0,1,3,2,-0.023266302,0.19095837,0.25834554,-0.1282449,0.049934097,-0.12101471,0.1735009,0.011705166,0.18903172,0.026941024,-0.15145755,-0.063030146
0,1,4,2,-0.014413217,-0.08256267,0.14544952,0.075233825,-0.02510597,0.03946309,0.023176853,0.17484662,-0.10563701,-0.057889443,-0.059433173,-0.06899839
0,1,5,2,-0.109706976,0.055286236,0.093693145,-0.043603048,-0.081539325,0.01815272,0.076460235,0.0723769,-0.041236192,0.111648,0.03470794,0.1066755
0,1,6,2,0.06536591,0.16230677,0.26989216,-0.2001118,0.19515444,-0.030272294,0.21640438,-0.16819663,0.16922386,-0.039022133,-0.09782369,-0.027125841
0,1,7,2,0.100326024,-0.097977296,0.059090808,0.07688416,0.048476852,0.0685274,0.17922264,0.09375054,-0.057796046,-0.10085201,-0.1096603,0.07738405
0,1,8,2,-0.08309525,0.090655126,0.09237588,-0.054971907,-0.049489252,0.08741083,-0.092851296,0.046242528,0.0027239665,0.06712699,-0.027404467,0.032442756
0,1,0,3,-0.060171966,-0.22494246,-0.19381185,0.07596376,0.24187388,-0.24617523,-0.07671134,0.10513958,0.07796385,0.08444318,0.09903347,-0.062804274
0,1,1,3,-0.07175677,0.09635366,-0.1914292,-0.15205821,-0.079168946,0.0021279075,0.04678476,0.14293115,0.020850964,0.014509246,-0.07199502,-0.07675269
0,1,2,3,0.03866679,-0.046390414,-0.108604886,-0.00799159,-0.04239453,0.051544905,0.08878466,-0.06962781,-0.0067848847,-0.060011636,0.06412385,0.08828545
0,1,3,3,0.01923531,-0.43221372,-0.25646022,0.060437974,0.37454683,-0.07186048,0.0013005496,-0.094127834,-0.060023822,0.048761364,-0.07299207,0.096519664
0,1,4,3,0.043993574,0.03492353,-0.20478246,0.056168083,0.02841919,-0.19334865,-0.03669236,0.001140786,0.094307736,0.068675436,0.023173722,0.026534207
0,1,5,3,-0.048806358,0.03175617,0.0898475,-0.045847733,0.09125292,0.005331386,0.017854698,0.04307478,0.0062995553,-0.103161626,-0.09177091,0.0655509
0,1,6,3,0.10327421,-0.3323871,-0.078918025,0.04158941,0.20876986,-0.005095008,0.17062199,-0.30880463,-0.037489768,-0.11086478,-0.05249996,-0.040278547
0,1,7,3,0.114099085,0.08266503,-0.12972221,0.023357233,-0.025146684,-0.14716502,0.06538533,0.03353596,0.110830754,0.09553173,-0.032327984,-0.016132988
0,1,8,3,-0.0039061904,-0.007824816,-0.07402854,-0.1026935,0.09175035,0.088589735,-0.058124952,0.058502473,0.03778082,-0.06015302,0.031985216,0.105637334
0,1,0,4,-0.04194777,0.11205846,0.05451958,-0.11898525,0.45300508,-0.20214485,-0.07178195,-0.15947203,0.011629306,-0.052879177,-0.009648337,0.044679012
0,1,1,4,0.078912035,-0.015247144,-0.10473643,0.11307045,0.029913273,-0.053545564,0.021188753,0.0016227578,-0.17249915,0.09211066,-0.043497656,0.08787923
